,total_bitcoins
2009-01-11,225.0
2009-01-18,29375.0
2009-01-25,87675.0
2009-02-01,116875.0
2009-02-08,175225.0
2009-02-15,204375.0
2009-02-22,262725.0
2009-03-01,291875.0
2009-03-08,321125.0
2009-03-15,350975.0
2009-03-22,409525.0
2009-03-29,438975.0
2009-04-05,468975.0
2009-04-12,529375.0
2009-04-19,558725.0
2009-04-26,587925.0
2009-05-03,647075.0
2009-05-10,677400.0
2009-05-17,737175.0
2009-05-24,767275.0
2009-05-31,797956.25
2009-06-07,827425.0
2009-06-14,857225.0
2009-06-21,886925.0
2009-06-28,
2009-07-05,917875.0
2009-07-12,947175.0
2009-07-19,977375.0
2009-07-26,1008175.0
2009-08-02,
2009-08-09,1038231.25
2009-08-16,
2009-08-23,1068625.0
2009-08-30,
2009-09-06,1098981.25
2009-09-13,1129025.0
2009-09-20,1159625.0
2009-09-27,1189581.25
2009-10-04,
2009-10-11,1220825.0
2009-10-18,1251725.0
2009-10-25,1281575.0
2009-11-01,1311012.5
2009-11-08,
2009-11-15,1340175.0
2009-11-22,1369325.0
2009-11-29,1398625.0
2009-12-06,1428025.0
2009-12-13,1457275.0
2009-12-20,1515725.0
2009-12-27,1574225.0
2010-01-03,1636525.0
2010-01-10,1695075.0
2010-01-17,1753725.0
2010-01-24,1783025.0
2010-01-31,1870975.0
2010-02-07,1929875.0
2010-02-14,1988775.0
2010-02-21,2077275.0
2010-02-28,2136375.0
2010-03-07,2195125.0
2010-03-14,2253875.0
2010-03-21,2312775.0
2010-03-28,2371525.0
2010-04-04,2433475.0
2010-04-11,2492425.0
2010-04-18,2581575.0
2010-04-25,2640875.0
2010-05-02,2700325.0
2010-05-09,2759775.0
2010-05-16,2789525.0
2010-05-23,2849675.0
2010-05-30,2909787.5
2010-06-06,2969425.0
2010-06-13,3029275.0
2010-06-20,3088975.0
2010-06-27,3149456.25
2010-07-04,3209775.0
2010-07-11,3269375.0
2010-07-18,3429287.5
2010-07-25,3488975.0
2010-08-01,3578425.0
2010-08-08,3637375.0
2010-08-15,3725725.0
2010-08-22,3784275.0
2010-08-29,3843325.0
2010-09-05,3902125.0
2010-09-12,3961125.0
2010-09-19,4019775.0
2010-09-26,4107575.0
2010-10-03,4166575.0
2010-10-10,4195925.0
2010-10-17,4284275.0
2010-10-24,4343525.0
2010-10-31,4432525.0
2010-11-07,4491475.0
2010-11-14,4579675.0
2010-11-21,4639425.0
2010-11-28,4698475.0
2010-12-05,4787375.0
2010-12-12,4846475.0
2010-12-19,4906225.0
2010-12-26,4965675.0
2011-01-02,5024675.0
2011-01-09,5083475.0
2011-01-16,5142525.0
2011-01-23,5201725.0
2011-01-30,5260425.0
2011-02-06,5319325.0
2011-02-13,5377975.0
2011-02-20,5466075.0
2011-02-27,5524775.0
2011-03-06,5612575.0
2011-03-13,5671325.0
2011-03-20,5700575.0
2011-03-27,5759525.0
2011-04-03,5818625.0
2011-04-10,5878225.0
2011-04-17,5937025.0
2011-04-24,5995425.0
2011-05-01,6053875.0
2011-05-08,6112575.0
2011-05-15,6200575.0
2011-05-22,6288375.0
2011-05-29,6376175.0
2011-06-05,6434675.0
2011-06-12,6493125.0
2011-06-19,6580725.0
2011-06-26,6668475.0
2011-07-03,6726875.0
2011-07-10,6756025.0
2011-07-17,6814375.0
2011-07-24,6872825.0
2011-07-31,6931275.0
2011-08-07,6990375.0
2011-08-14,7019975.0
2011-08-21,7080075.0
2011-08-28,7140125.0
2011-09-04,7169575.0
2011-09-11,7229225.0
2011-09-18,7289475.0
2011-09-25,7318975.0
2011-10-02,7378275.0
2011-10-09,7408325.0
2011-10-16,7468175.0
2011-10-23,7497925.0
2011-10-30,7556675.0
2011-11-06,7586075.0
2011-11-13,7647425.0
2011-11-20,7706675.0
2011-11-27,7737075.0
2011-12-04,7799631.25
2011-12-11,7831575.0
2011-12-18,7891287.5
2011-12-25,7953325.0
2012-01-01,7984881.25
2012-01-08,8046475.0
2012-01-15,8109575.0
2012-01-22,8141025.0
2012-01-29,8202775.0
2012-02-05,8263575.0
2012-02-12,8323675.0
2012-02-19,8353675.0
2012-02-26,8413831.25
2012-03-04,8475475.0
2012-03-11,8505893.75
2012-03-18,8568006.25
2012-03-25,8630775.0
2012-04-01,8693750.0
2012-04-08,8724575.0
2012-04-15,8786575.0
2012-04-22,8816818.75
2012-04-29,8880912.5
2012-05-06,8942025.0
