,total_bitcoins
2009-01-11,225.0
2009-01-18,29425.0
2009-01-25,87825.0
2009-02-01,117075.0
2009-02-08,175525.0
2009-02-15,204756.25
2009-02-22,263175.0
2009-03-01,292375.0
2009-03-08,321731.25
2009-03-15,351575.0
2009-03-22,410225.0
2009-03-29,439725.0
2009-04-05,469775.0
2009-04-12,530275.0
2009-04-19,559675.0
2009-04-26,588925.0
2009-05-03,648175.0
2009-05-10,678625.0
2009-05-17,738462.5
2009-05-24,768625.0
2009-05-31,799425.0
2009-06-07,828825.0
2009-06-14,858687.5
2009-06-21,
2009-06-28,888456.25
2009-07-05,919475.0
2009-07-12,948775.0
2009-07-19,979075.0
2009-07-26,1009925.0
2009-08-02,
2009-08-09,1040081.25
2009-08-16,
2009-08-23,1070425.0
2009-08-30,
2009-09-06,1100975.0
2009-09-13,1131012.5
2009-09-20,1161575.0
2009-09-27,1191768.75
2009-10-04,
2009-10-11,1222975.0
2009-10-18,1253925.0
2009-10-25,1283825.0
2009-11-01,
2009-11-08,1313225.0
2009-11-15,1342425.0
2009-11-22,1371625.0
2009-11-29,1400975.0
2009-12-06,1430425.0
2009-12-13,1459725.0
2009-12-20,1518275.0
2009-12-27,1576875.0
2010-01-03,1639275.0
2010-01-10,1697925.0
2010-01-17,1756675.0
2010-01-24,1786025.0
2010-01-31,1874125.0
2010-02-07,1933225.0
2010-02-14,1992125.0
2010-02-21,2080775.0
2010-02-28,2140025.0
2010-03-07,2198906.25
2010-03-14,2257775.0
2010-03-21,2316775.0
2010-03-28,2375675.0
2010-04-04,2437625.0
2010-04-11,2496725.0
2010-04-18,2585975.0
2010-04-25,2645487.5
2010-05-02,2704975.0
2010-05-09,2734825.0
2010-05-16,2794275.0
2010-05-23,2854675.0
2010-05-30,2914875.0
2010-06-06,2974425.0
2010-06-13,3034475.0
2010-06-20,3094437.5
2010-06-27,3124875.0
2010-07-04,3215175.0
2010-07-11,3275125.0
2010-07-18,3435125.0
2010-07-25,3494975.0
2010-08-01,3554975.0
2010-08-08,3643475.0
2010-08-15,3702625.0
2010-08-22,3761375.0
2010-08-29,3849825.0
2010-09-05,3908675.0
2010-09-12,3967775.0
2010-09-19,4026525.0
2010-09-26,4085225.0
2010-10-03,4144275.0
2010-10-10,4203025.0
2010-10-17,4291525.0
2010-10-24,4350987.5
2010-10-31,4440075.0
2010-11-07,4499025.0
2010-11-14,4587681.25
2010-11-21,4647325.0
2010-11-28,4706493.75
2010-12-05,4765775.0
2010-12-12,4854775.0
2010-12-19,4914775.0
2010-12-26,4974025.0
2011-01-02,5033275.0
2011-01-09,5092025.0
2011-01-16,5151318.75
2011-01-23,5210568.75
2011-01-30,5269275.0
2011-02-06,5328275.0
2011-02-13,5387025.0
