timestamp,hash_rate,market_price,daily_transaction_fees
2009-01-25,5.681173671957674e-06,0.0,0.0
2009-02-01,6.345160844867725e-06,0.0,0.0
2009-02-08,6.043348493544972e-06,0.0,0.1640816326530612
2009-02-15,6.359363779047617e-06,0.0,0.1640816326530612
2009-02-22,6.178276368253967e-06,0.0,0.0
2009-03-01,5.755739076402115e-06,0.0,0.0
2009-03-08,5.3154481168253925e-06,0.0,0.0
2009-03-15,5.528492129523809e-06,0.0,0.0
2009-03-22,5.7805942112169315e-06,0.0,0.0
2009-03-29,5.407767188994707e-06,0.0,0.0
2009-04-05,5.713130273862433e-06,0.0,0.0
2009-04-12,5.563999464973543e-06,0.0,0.0
2009-04-19,5.631463402328041e-06,0.0,0.0
2009-04-26,5.787695678306878e-06,0.0,0.0
2009-05-03,5.695376606137563e-06,0.0,0.0
2009-05-10,6.064652894814812e-06,0.0,0.004285714285714286
2009-05-17,5.375810587089946e-06,0.0,0.012857142857142859
2009-05-24,5.947478687830686e-06,0.0,0.004081632653061225
2009-05-31,4.452619865396822e-06,0.0,0.0
2009-06-07,4.317691990687827e-06,0.0,0.0
2009-06-14,2.6488472245502603e-06,0.0,0.0
2009-06-21,3.994575238095233e-06,0.0,0.0
2009-06-28,3.976821570370366e-06,0.0,0.0
2009-07-05,3.863198096931213e-06,0.0,0.0
2009-07-12,3.955517169100526e-06,0.0,0.0
2009-07-19,3.7673282912169274e-06,0.0,0.0
2009-07-26,2.8263839017989364e-06,0.0,0.011428571428571429
2009-08-02,2.080729857354493e-06,0.0,0.011428571428571429
2009-08-09,1.725656502857139e-06,0.0,0.005306122448979592
2009-08-16,3.7850819589417926e-06,0.0,0.015918367346938776
2009-08-23,1.7647145718518469e-06,0.0,0.0
2009-08-30,1.5339168914285667e-06,0.0,0.0
2009-09-06,3.6075452816931173e-06,0.0,0.0
2009-09-13,3.465515939894175e-06,0.0,0.0
2009-09-20,3.4619652063492015e-06,0.0,0.0
2009-09-27,3.444211538624333e-06,0.0,0.00979591836734694
2009-10-04,4.424213997037033e-06,0.0,0.0
2009-10-11,3.376747601269837e-06,0.0,0.0
2009-10-18,3.3128343974603133e-06,0.0,0.0
2009-10-25,4.047836241269838e-06,0.0,0.007346938775510205
2009-11-01,3.664357018412695e-06,0.0,0.012244897959183673
2009-11-08,2.6026876884656046e-06,0.0,0.0
2009-11-15,3.316385131005285e-06,0.0,0.0
2009-11-22,4.1792133824338556e-06,0.0,0.0
2009-11-29,4.367402260317453e-06,0.0,0.0
2009-12-06,3.9271113007407345e-06,0.0,0.022448979591836733
2009-12-13,4.406460329312163e-06,0.0,0.013469387755102041
2009-12-20,6.330957910687821e-06,0.0,0.0
2009-12-27,9.0046602700529e-06,0.0,0.0
2010-01-03,8.11686062391546e-06,0.0,0.0
2010-01-10,9.259853044762036e-06,0.0,0.0
2010-01-17,9.735155981173247e-06,0.0,0.015918367346938776
2010-01-24,8.71178443116339e-06,0.0,0.02653061224489796
2010-01-31,1.0364504235188831e-05,0.0,0.0
2010-02-07,1.347160128614116e-05,0.0,0.0
2010-02-14,1.8005868400730734e-05,0.0,0.026938775510204082
2010-02-21,2.089426746828766e-05,0.0,0.044897959183673466
2010-02-28,2.7487880183990027e-05,0.0,0.0
2010-03-07,3.2474642525122274e-05,0.0,0.0
2010-03-14,3.220743090621344e-05,0.0,0.0
2010-03-21,2.992491497488779e-05,0.0,0.0
2010-03-28,3.7013275533964954e-05,0.0,0.0
2010-04-04,4.453170259375832e-05,0.0,0.0
2010-04-11,5.2232488761658544e-05,0.0,0.037142857142857144
2010-04-18,6.909629973343362e-05,0.0,0.005306122448979592
2010-04-25,8.453344449927267e-05,0.0,0.0
2010-05-02,9.145068785343586e-05,0.0,0.0
2010-05-09,9.146750264347518e-05,0.0,0.0
2010-05-16,8.622940843783983e-05,0.0,0.27387755102040817
2010-05-23,8.165403788385662e-05,0.0,1.0573469387755101
2010-05-30,0.00011613283607057777,0.0,0.14142857142857138
2010-06-06,0.00012257649278500396,0.0,-6.344131569286608e-17
2010-06-13,0.00012462895190756118,0.0,-6.344131569286608e-17
2010-06-20,0.0001339295308839518,0.0,-6.344131569286608e-17
2010-06-27,0.00014329951870273202,0.0,-6.344131569286608e-17
2010-07-04,0.00016420342525620078,0.0,0.0838775510204081
2010-07-11,0.0001839630601014567,0.0,0.1397959183673469
2010-07-18,0.0005015754494120259,0.0,0.020204081632652998
2010-07-25,0.001867118216022407,0.0,0.2157142857142857
2010-08-01,0.0020235839063502655,0.0,0.6753061224489796
2010-08-08,0.0025615199902460427,0.0,0.480612244897959
2010-08-15,0.0031042819794066395,0.0,0.6628571428571427
2010-08-22,0.00418547766315071,0.015000000000000001,0.4465306122448977
2010-08-29,0.004971524232535402,0.07,0.2310204081632651
2010-09-05,0.005249309735002596,0.06714285714285714,0.16530627755102018
2010-09-12,0.005134171046371426,0.06142857142857143,0.045306222448979354
2010-09-19,0.006108049274851469,0.06857142857142856,0.02935544448979568
2010-09-26,0.008715935555230678,0.06857142857142856,0.02649826081632629
2010-10-03,0.010202540714949835,0.06,0.08775511224489772
2010-10-10,0.009401933671653512,0.06,0.12958999612244876
2010-10-17,0.010866461036291096,0.09714285714285716,0.029047129591836526
2010-10-24,0.016950929218897223,0.10500000000000001,0.03027148591836714
2010-10-31,0.021564086472219055,0.14000000000000004,0.00732307653061204
2010-11-07,0.026163836921136722,0.19571428571428573,0.002040816326530408
2010-11-14,0.03762820495954142,0.3014285714285715,0.06775510204081611
