,total_bitcoins
2009-01-11,625.0
2009-01-18,29725.0
2009-01-25,73375.0
2009-02-01,117075.0
2009-02-08,160775.0
2009-02-15,204439.58333333334
2009-02-22,248125.0
2009-03-01,291775.0
2009-03-08,320985.4166666667
2009-03-15,350775.0
2009-03-22,394600.0
2009-03-29,438625.0
2009-04-05,468575.0
2009-04-12,514225.0
2009-04-19,558168.75
2009-04-26,587325.0
2009-05-03,631700.0
2009-05-10,676612.5
2009-05-17,721375.0
2009-05-24,766375.0
2009-05-31,796935.4166666666
2009-06-07,826425.0
2009-06-14,856158.3333333334
2009-06-21,885754.1666666666
2009-06-28,
2009-07-05,916595.8333333334
2009-07-12,945975.0
2009-07-19,976125.0
2009-07-26,1006797.9166666666
2009-08-02,
2009-08-09,1036825.0
2009-08-16,1067225.0
2009-08-23,
2009-08-30,
2009-09-06,1097516.6666666667
2009-09-13,1127475.0
2009-09-20,1158075.0
2009-09-27,1187700.0
2009-10-04,
2009-10-11,1219077.0833333333
2009-10-18,1249991.6666666667
2009-10-25,1279816.6666666667
2009-11-01,1309175.0
2009-11-08,
2009-11-15,1338325.0
2009-11-22,1367425.0
2009-11-29,1396675.0
2009-12-06,1425960.4166666667
2009-12-13,1455225.0
2009-12-20,1498950.0
2009-12-27,1557375.0
2010-01-03,1617931.25
2010-01-10,1678009.375
2010-01-17,1736550.0
2010-01-24,1780425.0
2010-01-31,1838859.0277777778
2010-02-07,1912293.75
2010-02-14,1985758.3333333333
2010-02-21,2059353.125
2010-02-28,2118282.291666667
2010-03-07,2177087.5
2010-03-14,2235850.0
2010-03-21,2294560.416666667
2010-03-28,2353300.0
2010-04-04,2414000.0
2010-04-11,2473775.0
2010-04-18,2547793.0555555555
2010-04-25,2622012.5
2010-05-02,2681125.0
2010-05-09,2740725.0
2010-05-16,2785197.9166666665
2010-05-23,2830081.25
2010-05-30,2890108.333333333
2010-06-06,2949818.75
2010-06-13,3009514.583333333
2010-06-20,3069368.75
2010-06-27,3129425.0
2010-07-04,3189550.0
2010-07-11,3249385.4166666665
2010-07-18,3361547.9166666665
2010-07-25,3483375.6944444445
2010-08-01,3558058.333333333
2010-08-08,3616900.0
2010-08-15,3690508.3333333335
2010-08-22,3763702.083333333
2010-08-29,3822400.0
2010-09-05,3881260.416666667
2010-09-12,3940091.666666667
2010-09-19,3998675.0
2010-09-26,4071875.0
