timestamp,hash_rate,market_price,daily_transaction_fees
2016-10-23,1857003.533876305,633.9300000000001,63.17507050285714
2016-10-30,1815470.12498659,664.92,92.38037193142857
2016-11-06,1813001.528294155,715.04,79.75000464857143
2016-11-13,2126416.01155681,721.5,81.87885920571424
2016-11-20,2125144.050696495,718.61,74.65794004857142
2016-11-27,2017209.5388779,737.02,108.90110094285714
2016-12-04,2049481.43546197,746.495,114.29631203428572
2016-12-11,2238066.96349964,766.48,110.31204536857142
2016-12-18,2137191.69423398,772.0350000000001,90.54068294999999
2016-12-25,2119951.87162899,852.48,95.30939894428572
2017-01-01,2526780.16636849,947.59,93.26367813142858
2017-01-08,2210932.64557243,1109.16,111.86147794857143
2017-01-15,2338309.2512636,858.005,106.02637911285713
2017-01-22,2838682.0113166803,863.0999999999999,99.46512779571424
2017-01-29,3096188.0915169697,901.105,111.16829479285714
2017-02-05,3066886.62692848,983.42,139.14042430142857
2017-02-12,2864618.0348395854,998.21,144.0547422057143
2017-02-19,3438592.84598519,1027.875,141.00578311714284
2017-02-26,3472939.11470848,1137.685,188.5408286742857
2017-03-05,3440072.18302354,1224.98,225.2552519857143
2017-03-12,3412840.385131065,1231.565,223.73468700285713
2017-03-19,3642911.1537749153,1154.51,232.87038910285716
2017-03-26,3866355.46027539,1037.405,237.04043056857145
2017-04-02,4073274.03319987,1039.77,220.81754587714286
2017-04-09,4197459.21713889,1136.8600000000001,213.50564469571427
2017-04-16,4028553.095404095,1190.175,195.83571294428572
2017-04-23,3831652.4171672,1217.22,208.01151318285716
2017-04-30,3814281.63369607,1288.02,263.37879574285716
2017-05-07,3619675.427895255,1446.0149999999999,254.16620300999998
2017-05-14,4209998.81482934,1671.99,278.4897382128571
2017-05-21,4203281.914616255,1858.915,376.8072690457143
2017-05-28,4828620.58576969,2421.49,482.00026465142855
2017-06-04,4399080.7177104205,2293.6549999999997,540.1898025085713
2017-06-11,4926236.8205579445,2762.13,469.99177604
2017-06-18,4926847.188168734,2667.88,395.07309606857143
2017-06-25,4917633.68660062,2658.69,363.1586546685714
2017-07-02,5236041.623143099,2521.86,336.53105229999994
2017-07-09,5601196.84955935,2526.395,222.80873846571427
2017-07-16,6377090.19723977,2141.6099999999997,209.77470820142858
2017-07-23,6478892.62402049,2265.21,207.93219467285715
2017-07-30,6766531.635850335,2702.445,164.33284882142857
2017-08-06,6970184.286386725,2859.71,130.11061186428572
2017-08-13,6562865.5611862745,3638.635,170.30572487142857
2017-08-20,8215055.49267373,4375.8,309.79569003714283
2017-08-27,4868553.227728769,4193.185,436.9355787514286
2017-09-03,6909672.57373551,4642.535,389.9125386771429
2017-09-10,6880334.042587316,4357.945,279.27198494714287
2017-09-17,7981187.48940129,3865.22,150.46188004714284
2017-09-24,7295097.59900097,3639.7250000000004,129.87697764
2017-10-01,7569349.3884371,4048.125,112.69028461142857
2017-10-08,8827072.415059006,4373.895,166.99379518714287
2017-10-15,8547734.68040521,4822.17,181.89218851285713
2017-10-22,10500494.6462885,5694.424999999999,197.04769920714287
2017-10-29,8037051.036323786,5835.24,130.94255157285716
2017-11-05,9027632.143743701,6891.03,267.09792213
2017-11-12,11049821.7439423,7468.44,299.4402690985714
2017-11-19,10411258.694596339,6879.425,472.75459532285714
2017-11-26,11089795.53108,8227.795,258.0012727114286
2017-12-03,11684485.8511414,10415.935000000001,241.02400702857145
2017-12-10,11941671.1962486,13843.93,322.8496815
2017-12-17,13444265.58518055,15738.550000000001,583.8296150028572
2017-12-24,12989204.661407001,16344.2,874.4803867828571
2017-12-31,14851456.2257664,14145.265,730.708971007143
2018-01-07,16127548.7258182,15039.24,681.6301094214286
2018-01-14,16511537.981194802,14739.23,680.2261542271428
2018-01-21,18660853.796426453,12530.325,585.9376479842857
2018-01-28,19968302.081114948,11131.43,269.4066865371429
2018-02-04,20703947.9136968,10204.0,163.45591001999998
2018-02-11,21615275.999688998,8223.57,121.41492659142857
2018-02-18,22363980.0969036,9537.14,63.17342434285714
2018-02-25,25414636.6895972,10472.869999999999,60.78239506
2018-03-04,24667147.3751973,10332.14,50.29412157428572
2018-03-11,24127594.36451805,10420.665,36.41268677857143
2018-03-18,25109055.83019335,8713.945,37.91659206714286
2018-03-25,24699781.92736325,8721.855,28.84223077142857
2018-04-01,26162835.2122593,7950.61,25.206821522857144
2018-04-08,25656757.7152732,6807.1,22.920324275714286
2018-04-15,27385396.13492265,7339.83,29.41269485285714
2018-04-22,30536556.519092,8418.895,27.14163067714286
2018-04-29,26910340.4324498,8870.14,53.50865215142858
2018-05-06,29290865.30126985,9575.875,38.67478048142857
2018-05-13,30890115.06810755,8882.994999999999,28.67042725
2018-05-20,33267920.581229,8356.564999999999,50.20725990857143
2018-05-27,30616246.3183454,7511.91,31.60923532
2018-06-03,34470039.56121405,7417.110000000001,21.569159680000002
2018-06-10,39050999.7511287,7555.505,18.3717082
2018-06-17,36840565.802951604,6520.84,24.038239247142855
2018-06-24,42908653.8315633,6760.83,60.329302569999996
2018-07-01,38870192.29447495,6017.59,29.900614434285718
2018-07-08,36261666.74365265,6627.514999999999,18.491812794285714
2018-07-15,35728406.938598946,6289.055,19.758526524285713
2018-07-22,44021066.1135111,7371.11,22.008558592857145
2018-07-29,42862617.00526075,7673.235000000001,22.531978945714286
2018-08-05,47763323.94579985,7793.13,21.1212118
2018-08-12,47831365.206866056,6473.04,18.89221394714286
2018-08-19,50183117.0745072,6270.67,22.734921715714286
2018-08-26,47426908.597489804,6506.27,22.54376580857143
2018-09-02,50830653.1778048,6960.02,25.68758316857143
2018-09-09,50508697.008130655,6771.625,23.34711144857143
2018-09-16,51641090.3821529,6326.04,21.774382662857143
2018-09-23,49152796.268627346,6496.695,16.321530374285715
2018-09-30,57067272.8638632,6606.055,19.72088006857143
2018-10-07,52089835.2177487,6547.465,21.614793810000002
2018-10-14,58923571.7521087,6581.07,16.36736147
2018-10-21,55369036.9201651,6387.385,16.347698772857143
2018-10-28,51773921.1591717,6483.030000000001,15.364554364285713
2018-11-04,51243114.1301768,6331.455,19.05583699714286
2018-11-11,43213783.5264494,6536.83,18.336976588571428
2018-11-18,47473046.7946681,6033.629999999999,22.089908107142858
2018-11-25,45476405.29945615,4600.879999999999,30.092753084285714
2018-12-02,38365549.1980867,4008.27,39.35005873857143
2018-12-09,37892374.8161739,3744.98,29.46903094714286
2018-12-16,37892374.81617385,3448.275,20.540663624285713
2018-12-23,40094410.00046585,3728.185,22.15121734142857
2018-12-30,42264636.461223796,3795.94,20.85438158857143
2019-01-06,43291796.7608921,3931.31,12.489665551428573
2019-01-13,40359126.6577349,3859.01,19.34262773714286
2019-01-20,38755541.3105523,3654.105,19.49738095714286
2019-01-27,41387993.1731558,3581.825,22.020925328571426
2019-02-03,44802503.958942,3470.0,22.182138202857143
2019-02-10,44802503.958941996,3425.3900000000003,19.805027798571427
2019-02-17,41883443.2283047,3618.835,20.79769375
2019-02-24,40234911.9535075,4033.0650000000005,33.52211714142857
2019-03-03,45274965.6436762,3833.23,33.29093791285714
2019-03-10,42709384.2572012,3850.7,31.92530438
2019-03-17,46157993.9381306,3908.795,29.645364977142858
2019-03-24,48030795.403923705,4020.5150000000003,24.42004024857143
2019-03-31,46298790.8217788,4048.51,40.30775759428571
2019-04-07,46615905.827407405,4512.7,109.03940797571428
2019-04-14,42426157.5195523,5170.780000000001,102.52710375285713
2019-04-21,47527692.87032385,5252.965,78.73970594714285
2019-04-28,45160953.3019234,5434.19,81.88567330714285
2019-05-05,49740210.80456595,5345.725,62.03071917
2019-05-12,42811917.359012544,6016.245000000001,88.06330060999998
2019-05-19,51983978.58111355,7628.87,161.51454450714286
2019-05-26,52659677.5344978,7625.93,184.77569446714284
2019-06-02,49522769.997879,8508.439999999999,160.4310927857143
2019-06-09,51544360.855703905,8066.605,120.58519761714285
2019-06-16,48229899.7082551,8388.525,108.73838660428571
2019-06-23,53038545.7630809,9281.7,118.43726785
2019-06-30,64743200.0371307,10973.665,155.16243627857145
2019-07-07,66265371.241716154,10766.939999999999,92.87487845571422
2019-07-14,61729710.5649067,11987.94,67.44604357571428
2019-07-21,54520401.3018519,9674.28,59.76005314999999
2019-07-28,72786420.18187219,10231.29,46.60014097714286
2019-08-04,70572250.2656315,10015.439999999999,38.04671444
2019-08-11,75945274.2994312,11373.945,52.147830680000006
2019-08-18,77930771.6667366,10016.96,62.351563854285715
2019-08-25,79983385.01152985,10214.79,43.03536283285714
2019-09-01,76186705.34326105,9969.135,28.629557032857143
2019-09-08,83802441.37105705,10554.25,32.46201994
2019-09-15,84605659.6589586,10159.32,32.691506677142854
2019-09-22,92800294.98897885,10293.154999999999,28.440039004285715
2019-09-29,96826525.5044644,8938.64,27.449826212857143
2019-10-06,94192668.35825491,8235.305,35.352027011428575
2019-10-13,103681264.292523,8587.92,25.709332234285714
2019-10-20,95378772.25948736,8180.27,24.844887205714286
2019-10-27,102283221.88381594,8444.655,23.338577674285716
2019-11-03,92562574.3518952,9367.265,38.928549777142855
2019-11-10,91737090.3690835,9343.34,39.14318034857143
2019-11-17,97692650.7417428,8834.720000000001,31.032443258571426
2019-11-24,102259259.04270971,7731.17,30.09735114142857
2019-12-01,89641525.0589222,7360.675,32.408459345714284
2019-12-08,93386357.4980277,7192.85,24.389865165714287
2019-12-15,96016693.83843835,7355.775,22.139722745714288
2019-12-22,101771516.2886775,7034.855,25.17219001142857
2019-12-29,91080446.94457385,7275.879999999999,18.119044371428572
2020-01-05,96717718.3123778,7175.68,14.444163445714285
2020-01-12,97403659.57700455,7584.745,23.21131650142857
2020-01-19,98283091.75683075,8502.79,19.857831875714286
2020-01-26,109813313.5446685,8524.810000000001,17.039404484285715
2020-02-02,119936535.919975,9279.81,20.43050535
2020-02-09,110326236.5674125,9535.11,22.36437417428571
2020-02-16,111966563.032748,10111.66,28.768529288571425
2020-02-23,109355858.72728649,9925.14,24.546326944285713
