,total_bitcoins
2009-01-11,7825.0
2009-01-18,47625.0
2009-01-25,92525.0
2009-02-01,132225.0
2009-02-08,176975.0
2009-02-15,221675.0
2009-02-22,263575.0
2009-03-01,300825.0
2009-03-08,339325.0
2009-03-15,378975.0
2009-03-22,416847.9166666667
2009-03-29,457375.0
2009-04-05,498275.0
2009-04-12,536193.75
2009-04-19,577825.0
2009-04-26,616975.0
2009-05-03,658604.1666666666
2009-05-10,698091.6666666666
2009-05-17,742139.5833333334
2009-05-24,772135.4166666666
2009-05-31,810175.0
2009-06-07,829775.0
2009-06-14,858708.3333333334
2009-06-21,886775.0
2009-06-28,913525.0
2009-07-05,942275.0
2009-07-12,969935.4166666666
2009-07-19,989162.5
2009-07-26,1009875.0
2009-08-02,1020725.0
2009-08-09,1047266.6666666666
2009-08-16,1067375.0
2009-08-23,1072475.0
2009-08-30,1091987.5
2009-09-06,1117025.0
2009-09-13,1140897.9166666667
2009-09-20,1166175.0
2009-09-27,1191368.75
2009-10-04,1217556.25
2009-10-11,1240475.0
2009-10-18,1262775.0
2009-10-25,1292975.0
2009-11-01,1311875.0
2009-11-08,1332825.0
2009-11-15,1359175.0
2009-11-22,1389325.0
2009-11-29,1417725.0
2009-12-06,1444368.75
2009-12-13,1482025.0
2009-12-20,1537775.0
2009-12-27,1594525.0
2010-01-03,1646075.0
2010-01-10,1705575.0
2010-01-17,1756675.0
2010-01-24,1808125.0
2010-01-31,1874075.0
2010-02-07,1947075.0
2010-02-14,2015425.0
2010-02-21,2087475.0
2010-02-28,2154225.0
2010-03-07,2216575.0
2010-03-14,2264825.0
2010-03-21,2318047.9166666665
2010-03-28,2383325.0
2010-04-04,2447075.0
2010-04-11,2515075.0
2010-04-18,2587875.0
2010-04-25,2652425.0
2010-05-02,2710075.0
2010-05-09,2760452.0833333335
2010-05-16,2801637.5
2010-05-23,2864625.0
2010-05-30,2932997.9166666665
2010-06-06,2982775.0
2010-06-13,3038714.5833333335
2010-06-20,3094645.8333333335
2010-06-27,3152225.0
2010-07-04,3215275.0
2010-07-11,3276793.75
2010-07-18,3446975.0
2010-07-25,3514535.4166666665
2010-08-01,3583175.0
2010-08-08,3654606.25
2010-08-15,3731425.0
2010-08-22,3787525.0
2010-08-29,3855375.0
2010-09-05,3913175.0
2010-09-12,3969775.0
2010-09-19,4040575.0
2010-09-26,4111725.0
2010-10-03,4168075.0
2010-10-10,4223075.0
2010-10-17,4293045.833333333
2010-10-24,4367495.833333333
2010-10-31,4444025.0
2010-11-07,4515122.916666667
2010-11-14,4593181.25
2010-11-21,4658525.0
2010-11-28,4718925.0
2010-12-05,4791122.916666667
2010-12-12,4862800.0
2010-12-19,4922425.0
2010-12-26,4978325.0
2011-01-02,5037675.0
2011-01-09,5092125.0
2011-01-16,5152175.0
2011-01-23,5211475.0
2011-01-30,5269425.0
2011-02-06,5329525.0
2011-02-13,5395975.0
2011-02-20,5468725.0
2011-02-27,5548725.0
2011-03-06,5619025.0
2011-03-13,5671775.0
2011-03-20,5715412.5
2011-03-27,5766925.0
2011-04-03,5827875.0
2011-04-10,5885943.75
2011-04-17,5944425.0
2011-04-24,5999575.0
2011-05-01,6064675.0
2011-05-08,6137675.0
2011-05-15,6210225.0
2011-05-22,6292925.0
2011-05-29,6377475.0
2011-06-05,6443275.0
2011-06-12,6519175.0
2011-06-19,6596125.0
2011-06-26,6670875.0
2011-07-03,6730825.0
2011-07-10,6783225.0
2011-07-17,6839325.0
2011-07-24,6893125.0
2011-07-31,6951172.916666667
2011-08-07,7000825.0
2011-08-14,7048989.583333333
2011-08-21,7098975.0
2011-08-28,7147875.0
2011-09-04,7198025.0
2011-09-11,7247225.0
2011-09-18,7296625.0
2011-09-25,7344625.0
2011-10-02,7390862.5
2011-10-09,7436575.0
2011-10-16,7477825.0
2011-10-23,7518475.0
2011-10-30,7558575.0
2011-11-06,7608425.0
2011-11-13,7657875.0
2011-11-20,7706925.0
2011-11-27,7750608.333333333
2011-12-04,7802750.0
2011-12-11,7856429.166666667
2011-12-18,7903275.0
2011-12-25,7955797.916666667
2012-01-01,8008875.0
2012-01-08,8065000.0
2012-01-15,8117137.5
2012-01-22,8169925.0
2012-01-29,8222268.75
2012-02-05,8276275.0
2012-02-12,8327193.75
2012-02-19,8378625.0
2012-02-26,8431472.916666666
2012-03-04,8482925.0
2012-03-11,8535829.166666666
2012-03-18,8589158.333333334
2012-03-25,8643525.0
2012-04-01,8696622.916666666
2012-04-08,8742620.833333334
2012-04-15,8789125.0
2012-04-22,8840125.0
2012-04-29,8891110.416666666
2012-05-06,8948575.0
2012-05-13,9001131.25
2012-05-20,9047995.833333334
2012-05-27,9093975.0
2012-06-03,9144025.0
2012-06-10,9197500.0
2012-06-17,9251668.75
2012-06-24,9303495.833333334
2012-07-01,9354616.666666666
2012-07-08,9408675.0
2012-07-15,9461418.75
2012-07-22,9514316.666666666
2012-07-29,9570843.75
2012-08-05,9624025.0
2012-08-12,9680018.75
2012-08-19,9735387.5
2012-08-26,9792229.166666666
2012-09-02,9846425.0
2012-09-09,9903072.916666666
2012-09-16,9955029.166666666
2012-09-23,10010977.083333334
2012-09-30,10064741.666666666
2012-10-07,10112775.0
2012-10-14,10164325.0
2012-10-21,10218062.5
2012-10-28,10273002.083333334
2012-11-04,10324350.0
2012-11-11,10376900.0
2012-11-18,10426025.0
2012-11-25,10478475.0
2012-12-02,10516155.208333334
2012-12-09,10538894.791666666
2012-12-16,10560987.5
2012-12-23,10583638.541666666
2012-12-30,10609779.166666666
2013-01-06,10636655.208333334
2013-01-13,10660408.333333334
2013-01-20,10683515.625
2013-01-27,10708587.5
2013-02-03,10736953.125
2013-02-10,10764122.916666666
2013-02-17,10793562.5
2013-02-24,10823011.458333334
2013-03-03,10852762.5
2013-03-10,10881387.5
2013-03-17,10911162.5
2013-03-24,10946762.5
